Exercice,Branche,Code Produit,Désignation Produit,Sous-Branche,Date Survenance,Règlement
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/10/2019,3058431658.25
2018,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/03/2017,2972782699.76
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,17/06/2017,2611498652.63
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/01/2015,2547475510.49
2022,Risques Industriels,IN,Incendie Risques Annexes,Incendie,04/01/2021,2057631891.6
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,04/04/2018,890817304.31
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/10/2021,1898000000.0
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,10/10/2021,1750000000.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/01/2015,1659443200.89
2016,Risques Industriels,IN,Incendie Risques Annexes,Incendie,17/02/2013,1656327585.0
2015,Risques Industriels,RG,RC Générale,Responsabilité Civile,16/04/2013,246236228.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/11/2015,1621249500.0
2022,Risques Industriels,PE,Perte D'exploitation,Incendie,15/09/2006,1493596302.58
2022,Risques Industriels,PE,Perte D'exploitation,Incendie,15/09/2006,1340406422.9
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,04/01/2021,1112479900.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/03/2017,1085571367.7
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/12/2009,960126029.29
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/05/2014,914244072.23
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,27/01/2015,819485541.16
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,14/10/2019,700055134.39
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,29/06/2011,613017626.55
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,07/04/2022,111267862.0
2023,Risques Industriels,RG,RC Générale,Responsabilité Civile,17/05/2019,107894230.07
2020,Risques Industriels,RG,RC Générale,Responsabilité Civile,09/03/2014,38688139.44
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,05/04/2021,600000000.0
2020,Risques Industriels,IN,Incendie Risques Annexes,Incendie,01/07/2019,569296773.28
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,25/07/2021,530000000.0
2017,Risques Industriels,IN,Incendie Risques Annexes,Incendie,12/04/2016,515521684.0
2014,Risques Industriels,IN,Incendie Risques Annexes,Incendie,15/09/2011,409183740.18
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/12/2017,338297930.11
2016,Risques Industriels,RG,RC Générale,Responsabilité Civile,16/04/2013,35155586.84
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/09/2018,313500000.0
2019,Risques Industriels,IN,Incendie Risques Annexes,Incendie,02/09/2018,294724750.0
2015,Risques Industriels,IN,Incendie Risques Annexes,Incendie,21/05/2014,293208028.98
2023,Risques Industriels,IM,Incendie Risques Multisites,Incendie,28/08/2022,250377760.4
2021,Risques Industriels,IN,Incendie Risques Annexes,Incendie,23/12/2019,238740332.53
2023,Risques Industriels,IN,Incendie Risques Annexes,Incendie,20/05/2022,219036419.2
